period,strategy,construction,start,end,months,cagr,market_cagr,excess_cagr,ann_mean,ann_vol,sharpe_rf,max_dd,market_max_dd,information_ratio,monthly_win_rate,hac_t_excess,bootstrap_lo,bootstrap_hi,bootstrap_prob_positive,cumulative,scenario,haircut_bps,break_even_monthly_bps
full,Value,size_balanced:gross,1990-12,2026-06,427,0.06438653842662223,0.038198186403085144,0.026188352023537087,0.08095081967213115,0.1935355592269598,0.2849752152115761,-0.6550338491938663,-0.5809621481292239,0.35605068825301106,0.5362997658079626,1.7947732135782972,-0.001696264637002337,0.05845524590163933,0.9682,8.210559925711413,gross,0,20.814891158260995
full,Value,size_balanced:base,1990-12,2026-06,427,0.06229185576638607,0.038198186403085144,0.02409366936330093,0.07898360655737705,0.19359592018948962,0.27475039778849575,-0.6585807542952438,-0.5809621481292239,0.33001290462611116,0.531615925058548,1.664261968937849,-0.0037174004683840733,0.056488032786885224,0.9566,7.587044828851337,base,20,20.814891158260995
full,Value,size_balanced:double,1990-12,2026-06,427,0.06019709528791828,0.038198186403085144,0.021998908884833135,0.07701639344262295,0.19367495647274444,0.26450655205702717,-0.6620984386908414,-0.5809621481292239,0.30385477418833234,0.5292740046838408,1.5336528219392984,-0.005713384074941457,0.05451168618266978,0.941,7.004610541602284,double,40,20.814891158260995
full,Profitability,size_balanced:gross,1990-12,2026-06,427,0.040410748070047076,0.038198186403085144,0.002212561666961932,0.05719110070257611,0.18834209224209447,0.16684211393819515,-0.582061632879381,-0.5809621481292239,0.06572056790158294,0.5152224824355972,0.37908605137090967,-0.015317704918032783,0.021397833723653396,0.6488,3.0945408033710082,gross,0,1.7772031363415437
full,Profitability,size_balanced:base,1990-12,2026-06,427,0.0383582755792935,0.038198186403085144,0.0001600891762083556,0.05522388758782201,0.18840677866815625,0.1563791723160567,-0.586298102840809,-0.5809621481292239,0.029461089815323735,0.5128805620608899,0.17050669869902882,-0.01728600702576112,0.019411264637002334,0.5698,2.816707528788967,base,20,1.7772031363415437
full,Profitability,size_balanced:double,1990-12,2026-06,427,0.03630572571027435,0.038198186403085144,-0.0018924606928107934,0.05325667447306791,0.1884906512484762,0.14590862296555557,-0.5905001563207675,-0.5809621481292239,-0.006598782012849559,0.5105386416861827,-0.03834452121310743,-0.01923966042154567,0.017463969555035118,0.4838,2.5572224628233333,double,40,1.7772031363415437
full,Momentum,size_balanced:gross,1990-12,2026-06,427,0.048493975798712396,0.038198186403085144,0.010295789395627253,0.0662487119437939,0.19502404070476861,0.20758339264821563,-0.5857902697572153,-0.5809621481292239,0.16296155898516276,0.5269320843091335,0.9625722676756978,-0.010214086651053866,0.03588618266978923,0.8506,4.392680393642088,gross,0,8.239690172525057
full,Momentum,size_balanced:base,1990-12,2026-06,427,0.023663686736501433,0.038198186403085144,-0.014534499666583711,0.042248711943793885,0.19502404070476861,0.08483718020468003,-0.6267064781589304,-0.5809621481292239,-0.14668171918444253,0.48009367681498827,-0.8664114159265854,-0.034214086651053875,0.011886182669789209,0.161,1.298425873109284,base,20,8.239690172525057
full,Momentum,size_balanced:double,1990-12,2026-06,427,-0.0006266599243259785,0.038198186403085144,-0.03882484632741112,0.018248711943793884,0.19502404070476861,-0.037909032238855445,-0.6669759802042596,-0.5809621481292239,-0.45632499735404763,0.43559718969555034,-2.695395099528868,-0.05821408665105388,-0.012113817330210793,0.0014,-0.022058707364426167,double,40,8.239690172525057
full,Value+Momentum,size_balanced:gross,1990-12,2026-06,427,0.057635369847737206,0.038198186403085144,0.019437183444652062,0.07359976580796253,0.18807125067534936,0.25421155315310723,-0.6200367370143587,-0.5809621481292239,0.3341488989672469,0.5199063231850117,1.853810235115289,-0.00012144028103044558,0.041323261124121775,0.9744,6.344374232836658,gross,0,15.495413810351529
