period,comparison,start,end,months,with_p_cagr,without_p_cagr,cagr_diff,ann_mean_diff,hac_t_diff,bootstrap_lo,bootstrap_hi,bootstrap_prob_positive,with_p_max_dd,without_p_max_dd
full,size_balanced_add_p,1990-12,2026-06,427,0.05220622806697928,0.057635369847737206,-0.005429141780757929,-0.005469555035128809,-1.555974519137242,-0.01254314988290399,0.0011822248243559626,0.0534,-0.6074419912786233,-0.6200367370143587
full,big_only_add_p,1990-12,2026-06,427,0.05243954200594758,0.058966129606077056,-0.006526587600129474,-0.007183606557377055,-1.788293775782893,-0.015137868852459024,0.0001504683840749315,0.0288,-0.5582871576371109,-0.5064679257211243
full,grid_add_p,1990-12,2026-06,427,0.06169541018881497,0.0615505204774498,0.00014488971136517037,-0.0005803278688524618,-0.19572243321774113,-0.006077865925058556,0.004665705503512878,0.4154,-0.6200583962786113,-0.6293513871783971
full,grid_intersection_p,1990-12,2026-06,427,0.06633167600036405,0.0615505204774498,0.004781155522914249,0.004641217798594846,0.8007744285096814,-0.006220696721311481,0.01576008196721311,0.787,-0.6173704823183064,-0.6293513871783971
full,big_grid_add_p,1990-12,2026-06,427,0.05901984847498776,0.058498106540952666,0.0005217419340350915,-0.0007092505854800924,-0.19848610137956801,-0.0067564754098360606,0.00539919789227166,0.418,-0.49079474079039054,-0.5043315098115957
full,big_grid_intersection_p,1990-12,2026-06,427,0.061750071493028136,0.058498106540952666,0.00325196495207547,0.0037218969555035137,0.41965490529059307,-0.012690518149882904,0.02000123536299765,0.661,-0.5088321116616852,-0.5043315098115957
full,factor_add_rmw,1990-12,2026-06,427,0.02067042065844893,0.028773385233111792,-0.008102964574662863,-0.009577517564402808,-1.2366976468324322,-0.025446651053864164,0.00557446135831381,0.11,-0.1560785871057433,-0.34493894508433887
full,factor_ivol_add_rmw,1995-11,2026-06,368,0.01925163569711863,0.033582206615524024,-0.014330570918405394,-0.016063662483467772,-1.2894326850530573,-0.04277438772674444,0.009095463233220502,0.1114,-0.08147950686342764,-0.33730300416270564
pre_2015,size_balanced_add_p,1990-12,2015-06,295,0.0368002737559987,0.04133638524880201,-0.0045361114928033075,-0.004772881355932206,-1.237801979778329,-0.011803881355932211,0.002198279661016939,0.0928,-0.6074419912786233,-0.6200367370143587
pre_2015,big_only_add_p,1990-12,2015-06,295,0.03529480675868468,0.04204414916562116,-0.006749342406936476,-0.007629830508474583,-1.5604357083292852,-0.017819745762711878,0.0014928983050847406,0.0504,-0.5582871576371109,-0.5064679257211243
pre_2015,grid_add_p,1990-12,2015-06,295,0.05021164077918505,0.04871960453417756,0.0014920362450074887,0.0006164406779660967,0.1763025386980026,-0.00535691949152543,0.0068385783898305,0.5668,-0.6200583962786113,-0.6293513871783971
pre_2015,grid_intersection_p,1990-12,2015-06,295,0.06002502045833391,0.04871960453417756,0.011305415924156348,0.010817796610169489,1.5373425545146329,-0.0018236122881355975,0.02392940466101695,0.9482,-0.6173704823183064,-0.6293513871783971
pre_2015,big_grid_add_p,1990-12,2015-06,295,0.046603372367609586,0.045145828767102714,0.001457543600506872,6.966101694915277e-05,0.01613736355404936,-0.007550406779661018,0.007660343220338986,0.4982,-0.49079474079039054,-0.5043315098115957
pre_2015,big_grid_intersection_p,1990-12,2015-06,295,0.052966389703287486,0.045145828767102714,0.007820560936184773,0.008760508474576274,0.8226752496859375,-0.011120021186440678,0.02879279237288135,0.8062,-0.5088321116616852,-0.5043315098115957
pre_2015,factor_add_rmw,1990-12,2015-06,295,0.02269865400787685,0.0284919247041564,-0.005793270696279551,-0.007176949152542372,-0.8367113201179992,-0.023766915254237284,0.009016813559322014,0.1982,-0.1560785871057433,-0.24378523031228727
pre_2015,factor_ivol_add_rmw,1995-11,2015-06,236,0.02339127067751834,0.03764141156828349,-0.01425014089076515,-0.015842095961085198,-1.0651283220479293,-0.04495081991055478,0.013556855762306825,0.148,-0.08147950686342764,-0.21718448775162924
primary,size_balanced_add_p,2015-07,2026-06,132,0.08746874075388833,0.09498922849030755,-0.0075204877364192235,-0.007026515151515157,-0.9552109496651546,-0.022556799242424253,0.007730359848484847,0.1908,-0.277516934479497,-0.26699940346836837
primary,big_only_add_p,2015-07,2026-06,132,0.09178871878031791,0.09778415589475453,-0.005995437114436619,-0.006186363636363644,-0.8832184170937512,-0.020067234848484872,0.0069759469696969705,0.1882,-0.26072414841644287,-0.23430280050768093
primary,grid_add_p,2015-07,2026-06,132,0.08781584327154657,0.09079598377251252,-0.0029801405009659554,-0.003254924242424242,-0.590828569073235,-0.014983219696969696,0.0067096685606060635,0.2838,-0.28202404421855143,-0.2965892640628338
primary,grid_intersection_p,2015-07,2026-06,132,0.08056205733851352,0.09079598377251252,-0.010233926433999008,-0.009162499999999994,-0.9629871442141715,-0.026903735795454544,0.008157840909090903,0.1558,-0.35195068300641774,-0.2965892640628338
primary,big_grid_add_p,2015-07,2026-06,132,0.08730385277567776,0.08895827251592614,-0.0016544197402483807,-0.002449999999999999,-0.38617425402366545,-0.014437130681818185,0.007741922348484852,0.3414,-0.24056434153292172,-0.24650672426099662
primary,big_grid_intersection_p,2015-07,2026-06,132,0.08164603584514385,0.08895827251592614,-0.0073122366707822906,-0.007538636363636364,-0.4792463987377811,-0.037406931818181825,0.020693636363636355,0.3136,-0.33454727900138803,-0.24650672426099662
primary,factor_add_rmw,2015-07,2026-06,132,0.01615215442144824,0.0294026853248206,-0.01325053090337236,-0.014942424242424241,-0.931175057176975,-0.04993712121212123,0.018516249999999963,0.2026,-0.1099817012242974,-0.2606502985505659
primary,factor_ivol_add_rmw,2015-07,2026-06,132,0.01189215731825688,0.02636437412666881,-0.01447221680841193,-0.016459796568939648,-0.7384757792245077,-0.06421890559748318,0.029541984822755534,0.2538,-0.043944346029902936,-0.2604051298615445
recent,size_balanced_add_p,2020-01,2026-06,78,0.09120946223236559,0.11123075781912273,-0.020021295586757137,-0.018356410256410258,-1.712821759388186,-0.03919660256410257,0.0041117307692307686,0.0512,-0.277516934479497,-0.24993564273895064
recent,big_only_add_p,2020-01,2026-06,78,0.12049954275235963,0.13663746639083652,-0.01613792363847688,-0.015194871794871804,-1.5375705022404813,-0.03313608974358976,0.0031442948717948574,0.0526,-0.260724148416443,-0.23402585028861156
recent,grid_add_p,2020-01,2026-06,78,0.09482428344342164,0.10547203307746122,-0.010647749634039583,-0.010399679487179478,-1.244986031113949,-0.02889354967948718,0.006036714743589744,0.115,-0.2642949656197464,-0.2557470720541999
recent,grid_intersection_p,2020-01,2026-06,78,0.08646795367313231,0.10547203307746122,-0.01900407940432891,-0.016775961538461528,-1.4023566772271623,-0.047053870192307674,0.006816995192307674,0.1062,-0.2601294024261702,-0.2557470720541999
recent,big_grid_add_p,2020-01,2026-06,78,0.11016945792559274,0.11858353651756603,-0.008414078591973295,-0.008889102564102563,-0.9750216497678259,-0.027617532051282038,0.006825304487179483,0.1534,-0.24056434153292183,-0.23731505961171617
recent,big_grid_intersection_p,2020-01,2026-06,78,0.10148749277349056,0.11858353651756603,-0.017096043744075473,-0.016636538461538466,-1.0317413141926228,-0.05432903846153845,0.015753990384615373,0.1862,-0.2402378161288674,-0.23731505961171617
