Date,M,V,P,Mom
1990-11,-0.13549999999999998,-0.1454,-0.11869999999999999,-0.146
1990-12,0.025299999999999996,-0.0017000000000000001,0.044199999999999996,-0.0519
1991-01,0.017099999999999997,0.011899999999999999,0.0381,0.011899999999999999
1991-02,0.1277,0.151,0.1043,0.0719
1991-03,-0.0376,-0.048499999999999995,-0.0432,-0.036000000000000004
1991-04,0.0271,0.0219,0.0199,0.032
1991-05,-0.0156,-0.024900000000000002,-0.0125,-0.0070999999999999995
1991-06,-0.06670000000000001,-0.0421,-0.0791,-0.051399999999999994
1991-07,0.018799999999999997,0.0339,0.0351,0.0323
1991-08,-0.0678,-0.07730000000000001,-0.061,-0.0345
1991-09,0.0912,0.08929999999999999,0.07730000000000001,0.0676
1991-10,0.0448,0.0311,0.0348,0.0642
1991-11,-0.0813,-0.0906,-0.0787,-0.0593
1991-12,0.028800000000000003,0.0398,0.0347,0.0158
1992-01,-0.0533,-0.0253,-0.0433,-0.0693
1992-02,-0.0694,-0.0764,-0.0725,-0.0593
1992-03,-0.11109999999999999,-0.0998,-0.106,-0.10460000000000001
1992-04,-0.0738,-0.0073,-0.0387,-0.065
1992-05,0.0901,0.0726,0.0821,0.0852
1992-06,-0.08730000000000002,-0.0727,-0.0733,-0.0516
1992-07,-0.0296,-0.0406,-0.0441,-0.0482
1992-08,0.1663,0.1261,0.1285,0.11259999999999999
1992-09,-0.026000000000000002,-0.023700000000000002,-0.0362,-0.025
1992-10,-0.05159999999999999,-0.0409,-0.0509,-0.0373
1992-11,0.020800000000000003,0.018600000000000002,0.0213,0.015300000000000001
1992-12,-0.0075,-0.0012,-0.0059,-0.0040999999999999995
1993-01,-0.0063999999999999994,-0.0088,-0.0032,-0.0039000000000000003
1993-02,0.0457,0.030600000000000002,0.046799999999999994,0.036000000000000004
1993-03,0.161,0.1881,0.19149999999999998,0.11130000000000001
1993-04,0.16920000000000002,0.19390000000000002,0.161,0.1564
1993-05,0.0518,0.0165,0.0109,0.055
1993-06,-0.039400000000000004,-0.0527,-0.053200000000000004,-0.0288
1993-07,0.06949999999999999,0.0765,0.06709999999999999,0.0821
1993-08,0.023999999999999997,0.0332,0.023799999999999998,0.027999999999999997
1993-09,-0.049400000000000006,-0.0483,-0.0438,-0.0697
1993-10,-0.0234,-0.0138,-0.0242,-0.0084
1993-11,-0.15969999999999998,-0.16579999999999998,-0.1286,-0.1734
1993-12,0.0223,0.045700000000000005,0.0199,0.0317
1994-01,0.17120000000000002,0.20129999999999998,0.1671,0.1818
1994-02,0.0409,0.055,0.038900000000000004,0.0483
1994-03,-0.0196,-0.0116,-0.0282,-0.029300000000000003
1994-04,0.0356,0.030899999999999997,0.0233,0.018799999999999997
1994-05,0.0155,0.0414,0.003,0.0147
1994-06,0.0633,0.0718,0.0601,0.068
1994-07,-0.0383,-0.049100000000000005,-0.0352,-0.0489
1994-08,0.0008000000000000004,0.0115,0.0175,0.0091
1994-09,-0.028499999999999998,-0.025099999999999997,-0.0222,-0.026699999999999998
1994-10,0.025800000000000003,0.0415,0.0222,0.0403
1994-11,-0.0618,-0.059500000000000004,-0.0593,-0.0654
1994-12,0.0205,0.0152,0.0138,0.017
1995-01,-0.0643,-0.0834,-0.0815,-0.1
1995-02,-0.05210000000000001,-0.0501,-0.0395,-0.049400000000000006
1995-03,0.09059999999999999,0.1014,0.11960000000000001,0.08349999999999999
1995-04,0.0412,0.023,0.028900000000000002,0.0562
1995-05,-0.0625,-0.07339999999999999,-0.0596,-0.0565
1995-06,-0.0413,-0.0253,-0.009000000000000001,-0.0282
1995-07,0.0635,0.0547,0.037599999999999995,0.0479
1995-08,-0.0261,-0.0233,-0.012,-0.0269
1995-09,-0.0117,-0.0334,0.0029,0.001
1995-10,-0.038500000000000006,-0.0429,-0.0288,-0.0351
1995-11,0.0451,0.0432,0.0146,0.0336
1995-12,0.0484,0.0641,0.0325,0.0271
1996-01,-0.0124,0.0012,-0.011699999999999999,-0.0236
1996-02,-0.014499999999999999,-0.013500000000000002,-0.0043,-0.017
1996-03,0.029900000000000003,0.0273,0.0143,0.031400000000000004
1996-04,0.06839999999999999,0.0762,0.0661,0.056799999999999996
1996-05,-0.0449,-0.037200000000000004,-0.0478,-0.049400000000000006
1996-06,0.0037,0.0207,0.0070999999999999995,0.0098
1996-07,-0.04719999999999999,-0.0473,-0.0362,-0.056299999999999996
1996-08,-0.0431,-0.041100000000000005,-0.044800000000000006,-0.046900000000000004
1996-09,0.0288,0.0334,0.0347,0.036699999999999997
1996-10,-0.06860000000000001,-0.0664,-0.0667,-0.0677
1996-11,0.0063,0.0222,0.0202,0.037599999999999995
1996-12,-0.0706,-0.049100000000000005,-0.0395,-0.0364
1997-01,-0.10729999999999999,-0.09230000000000001,-0.0684,-0.07769999999999999
1997-02,0.0185,0.0029,0.0155,0.020499999999999997
1997-03,-0.036699999999999997,-0.0241,-0.016200000000000003,-0.0144
1997-04,0.019200000000000002,0.0325,0.0225,0.056799999999999996
1997-05,0.1354,0.1013,0.1458,0.1324
1997-06,0.058100000000000006,0.048600000000000004,0.0435,0.041100000000000005
1997-07,-0.040100000000000004,-0.0557,-0.0070999999999999995,0.0365
1997-08,-0.0942,-0.084,-0.1051,-0.11199999999999999
1997-09,-0.0252,-0.0385,-0.0106,0.0368
1997-10,-0.07650000000000001,-0.0962,-0.0637,-0.0719
1997-11,-0.07959999999999999,-0.10640000000000001,-0.0622,-0.0383
1997-12,-0.0764,-0.0973,-0.0581,-0.0262
1998-01,0.10980000000000001,0.129,0.0916,0.0407
1998-02,0.0121,0.0189,0.0038,-0.0143
1998-03,-0.0653,-0.059800000000000006,-0.0584,-0.0449
1998-04,-0.0186,-0.0348,0.0032,0.0019
1998-05,-0.045,-0.0495,-0.0404,-0.0395
1998-06,0.0072,0.013000000000000001,-0.0012,0.0077
1998-07,-0.012299999999999998,-0.0315,0.0132,0.0055000000000000005
1998-08,-0.0883,-0.1056,-0.0748,-0.0645
1998-09,-0.0345,-0.0716,-0.0321,-0.0176
1998-10,0.16440000000000002,0.20550000000000002,0.1276,0.14
1998-11,0.0394,0.049800000000000004,0.0337,-0.003
1998-12,0.031599999999999996,0.0212,0.0397,0.0833
1999-01,0.0114,0.0291,0.0102,0.0021
1999-02,-0.022500000000000003,-0.0339,-0.018000000000000002,-0.0282
1999-03,0.1404,0.1839,0.1437,0.1243
1999-04,0.0504,0.0892,0.0501,0.0571
1999-05,-0.049800000000000004,-0.063,-0.035,-0.054000000000000006
1999-06,0.1087,0.131,0.1209,0.1591
1999-07,0.10319999999999999,0.0944,0.1155,0.1457
1999-08,0.0319,0.08070000000000001,0.029900000000000003,0.10550000000000001
1999-09,0.0721,0.0873,0.0886,0.1121
1999-10,0.066,0.0592,0.0866,0.0984
1999-11,0.07600000000000001,-0.050300000000000004,0.1471,0.20850000000000002
1999-12,0.0405,-0.07719999999999999,0.0574,0.09609999999999999
2000-01,-0.0495,0.0075,-0.07429999999999999,-0.1023
2000-02,-0.0129,-0.0944,-0.003,0.0499
2000-03,0.0657,0.1281,0.0699,-0.0325
