period,strategy,construction,start,end,months,cagr,market_cagr,excess_cagr,ann_mean,ann_vol,sharpe_rf,max_dd,market_max_dd,information_ratio,monthly_win_rate,hac_t_excess,bootstrap_lo,bootstrap_hi,bootstrap_prob_positive,cumulative
primary,Value+Momentum,big_only,2015-07,2026-06,132,0.09778415589475453,0.08227459494587364,0.015509560948880896,0.10454090909090909,0.14820022075554298,0.5690231591612926,-0.23430280050768093,-0.289266420163236,0.33873077507641114,0.5227272727272727,1.062452197441335,-0.01389636363636364,0.04426840909090909,0.8416,1.7905290143984844
primary,Value+Profitability+Momentum,big_only,2015-07,2026-06,132,0.09178871878031791,0.08227459494587364,0.009514123834444277,0.09835454545454544,0.14333168540225089,0.5447993557775702,-0.26072414841644287,-0.289266420163236,0.32612346386270297,0.5227272727272727,1.0278916990815499,-0.009197803030303027,0.026479924242424218,0.8314,1.627390514850073
primary,Value+Momentum,size_balanced,2015-07,2026-06,132,0.09498922849030755,0.08227459494587364,0.012714633544433918,0.10176136363636364,0.1461582770656718,0.5574316942786136,-0.26699940346836837,-0.289266420163236,0.29666942639962196,0.5151515151515151,1.0446444595974267,-0.01559039772727272,0.03757306818181816,0.8208,1.7133656143989673
primary,Value,size_balanced,2015-07,2026-06,132,0.10139914335721456,0.08227459494587364,0.019124548411340925,0.10772272727272729,0.14701466417791423,0.5950860672288476,-0.2818615573147699,-0.289266420163236,0.27935806333559143,0.5,0.9294758855054192,-0.024609204545454535,0.05845045454545454,0.8056,1.8932907459854547
primary,VM,bm_op_32,2015-07,2026-06,132,0.09079598377251252,0.08227459494587364,0.008521388826638887,0.09811477272727273,0.14757836064066088,0.5272434118346637,-0.2965892640628338,-0.289266420163236,0.1971522319149596,0.5227272727272727,0.6396228919042816,-0.02390474431818183,0.03810183238636361,0.7168,1.6012304700740279
primary,Value,big_only,2015-07,2026-06,132,0.09707879139188069,0.08227459494587364,0.014804196446007056,0.10608181818181822,0.1624248703920056,0.5284382903488247,-0.30836420211428905,-0.289266420163236,0.18957573492772606,0.5151515151515151,0.6105929652801124,-0.040809318181818176,0.06917499999999997,0.7366,1.7708691249448498
primary,Momentum,big_only,2015-07,2026-06,132,0.09372557985670116,0.08227459494587364,0.011450984910827522,0.10300000000000001,0.16277838538359937,0.5079893211615601,-0.3024930496151713,-0.289266420163236,0.186031427997698,0.5075757575757576,0.6336065586103736,-0.021472727272727272,0.05213818181818179,0.7522,1.6791193666094917
primary,Value+Profitability,big_only,2015-07,2026-06,132,0.08938201265385048,0.08227459494587364,0.007107417707976849,0.09603181818181819,0.14258530482357154,0.5312281542224605,-0.25698862739432005,-0.289266420163236,0.1851065816091042,0.5303030303030303,0.5500214645461201,-0.01963022727272727,0.029323181818181814,0.7084,1.5643789395882313
primary,Value+Profitability+Momentum,size_balanced,2015-07,2026-06,132,0.08746874075388833,0.08227459494587364,0.005194145808014694,0.09473484848484848,0.14540808058022794,0.5112339908989353,-0.277516934479497,-0.289266420163236,0.16370197432011843,0.5378787878787878,0.6251836774943966,-0.012168901515151511,0.022397348484848475,0.7164,1.5152699499743028
primary,BVM,bm_op_32,2015-07,2026-06,132,0.08895827251592614,0.08227459494587364,0.006683677570052504,0.09588409090909092,0.14436095154124065,0.523784664589015,-0.24650672426099662,-0.289266420163236,0.15036092898502623,0.4696969696969697,0.4572534259229032,-0.02518599431818182,0.03526227272727271,0.6692,1.5534280396558846
primary,V,bm_op_32,2015-07,2026-06,132,0.09257876425072187,0.08227459494587364,0.010304169304848232,0.10042954545454547,0.15227290011655492,0.5263247777087352,-0.34167969050839286,-0.289266420163236,0.1487275916589349,0.48484848484848486,0.42930305982332256,-0.0445103125,0.06179869318181818,0.675,1.6483800440445786
primary,VPM,bm_op_32,2015-07,2026-06,132,0.08781584327154657,0.08227459494587364,0.005541248325672932,0.09485984848484849,0.144089474489021,0.5169968722964515,-0.28202404421855143,-0.289266420163236,0.14283139821946372,0.5303030303030303,0.4647964205488371,-0.02094226325757577,0.03006534090909087,0.6722,1.5241152278080063
